businessName,category,island,rank,imageUrl,sourcePage,sourceName,imageStatus,usageNote
The Ritz-Carlton St. Thomas,resort,St. Thomas,1,https://cache.marriott.com/is/image/marriotts7prod/rz-sttrz-rc-st-thomas-14503-79098:Wide-Hor?wid=1336&fit=constrain,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Ritz-Carlton St. Thomas,resort,St. Thomas,2,https://cache.marriott.com/content/dam/marriott-digital/rz/global-property-shared/en_us/logo/assets/rz_logo_L_W.png,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Ritz-Carlton St. Thomas,resort,St. Thomas,3,https://cache.marriott.com/content/dam/marriott-digital/rz/global-property-shared/en_us/logo/assets/rz_logo_L.png,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Ritz-Carlton St. Thomas,resort,St. Thomas,4,https://cache.marriott.com/is/image/marriotts7prod/rz-sttrz-rc-st-thomas-14503-79098:Feature-Hor?wid=1920&fit=constrain,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Ritz-Carlton St. Thomas,resort,St. Thomas,5,https://cache.marriott.com/is/image/marriotts7prod/rz-sttrz-rc-st-thomas-154-12271:Feature-Hor?wid=1920&fit=constrain,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Ritz-Carlton St. Thomas,resort,St. Thomas,6,https://cache.marriott.com/is/image/marriotts7prod/rz-sttrz-rc-st-thomas-14503-79098:Wide-Hor?wid=2880&fit=constrain,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Ritz-Carlton St. Thomas,resort,St. Thomas,7,https://cache.marriott.com/is/image/marriotts7prod/sttrz-attraction-beach-50713591:Classic-Ver?wid=270&fit=constrain,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Ritz-Carlton St. Thomas,resort,St. Thomas,8,https://cache.marriott.com/content/dam/marriott-digital/rz/cala/hws/s/sttrz/en_us/photo/unlimited/assets/sttrz-beach-cabana-7107.tif,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Frenchman's Reef,resort,St. Thomas,1,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.frenchmansreefstthomas.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Secret Harbour Beach Resort,hotel,St. Thomas,1,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.secretharbourvi.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Bolongo Bay Beach Resort,resort,St. Thomas,1,https://bolongobay.com/wp-content/uploads/2020/07/779845A620C1EEAE7F69CE654362750F-scaled.jpg,https://bolongobay.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Bolongo Bay Beach Resort,resort,St. Thomas,2,https://bolongobay.com/images/ico-hotel-small.svg,https://bolongobay.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Bolongo Bay Beach Resort,resort,St. Thomas,3,https://bolongobay.com/wp-content/uploads/2022/11/IMG_6897-scaled.jpg,https://bolongobay.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Emerald Beach Resort,hotel,St. Thomas,,,https://emeraldbeach.com/,No candidate found,needs_review,fetch failed
Windward Passage Hotel,hotel,St. Thomas,1,https://www.windwardpassage.com/wp-content/uploads/2025/06/wp-social.jpg,https://www.windwardpassage.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Windward Passage Hotel,hotel,St. Thomas,2,https://www.windwardpassage.com/wp-content/uploads/2025/08/IMG_6549.jpg,https://www.windwardpassage.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Windward Passage Hotel,hotel,St. Thomas,3,https://www.windwardpassage.com/wp-content/uploads/2025/05/Windward-Passage-Hotel-148.jpg,https://www.windwardpassage.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Windward Passage Hotel,hotel,St. Thomas,4,https://www.windwardpassage.com/Ly93d3cud2luZHdhcmRwYXNzYWdlLmNvbS93cC1jb250ZW50L3VwbG9hZHMvMjAyNS8wOC9JTUdfNjU0OS5qcGc=,https://www.windwardpassage.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Windward Passage Hotel,hotel,St. Thomas,5,https://www.windwardpassage.com/Ly93d3cud2luZHdhcmRwYXNzYWdlLmNvbS93cC1jb250ZW50L3VwbG9hZHMvMjAyNS8wNS9XaW5kd2FyZC1QYXNzYWdlLUhvdGVsLTE0OC5qcGc=,https://www.windwardpassage.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Windward Passage Hotel,hotel,St. Thomas,6,https://www.windwardpassage.com/wp-content/uploads/2025/06/windward-passage-cocktails.jpg,https://www.windwardpassage.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Windward Passage Hotel,hotel,St. Thomas,7,https://www.windwardpassage.com/wp-content/uploads/2025/05/Windward-Passage-Hotel-074.jpg,https://www.windwardpassage.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Margaritaville Vacation Club St. Thomas,resort,St. Thomas,1,https://d1l4e1efm2qo9x.cloudfront.net/margaritavilleresorts.com-1367967347/cms/imagepool/65faf099d672b.svg,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Margaritaville Vacation Club St. Thomas,resort,St. Thomas,2,https://www.margaritavilleresorts.com/skins/skin-prodmargaritavilleresorts/assets/desktop/images/margaritaville-perks.png,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Margaritaville Vacation Club St. Thomas,resort,St. Thomas,3,https://d1l4e1efm2qo9x.cloudfront.net/margaritavilleresorts.com-1367967347/cms/cache/v2/5eebd8b91db8e.jpg/1920x1080/fit/80/a8a95767fd3652bf1e163c85d2f2f81c.jpg,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Margaritaville Vacation Club St. Thomas,resort,St. Thomas,4,https://d1l4e1efm2qo9x.cloudfront.net/margaritavilleresorts.com-1367967347/cms/cache/v2/5eebd8b9e5972.jpg/1920x1080/fit/80/3fec5ecbe867d82d5dba9a9cb8e73378.jpg,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Margaritaville Vacation Club St. Thomas,resort,St. Thomas,5,https://d1l4e1efm2qo9x.cloudfront.net/margaritavilleresorts.com-1367967347/cms/cache/v2/5eebd8b9a4c97.jpg/1000x640/fit/80/de23ed227646cafb70c6477e12979122.jpg,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Margaritaville Vacation Club St. Thomas,resort,St. Thomas,6,https://www.margaritavilleresorts.com/skins/skin-prodmargaritavilleresorts/assets/desktop/images/privacyoptions123x59.png,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Margaritaville Vacation Club St. Thomas,resort,St. Thomas,7,https://www.margaritavilleresorts.com/skins/skin-prodmargaritavilleresorts/assets/desktop/images/user.png,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sapphire Beach Resort and Marina,hotel,St. Thomas,,,https://www.sapphirebeachresortvi.com/,No candidate found,needs_review,fetch failed
The Westin St. John Resort Villas,resort,St. John,,,https://www.marriott.com/en-us/hotels/sttwi-the-westin-st-john-resort-villas/overview/,No candidate found,needs_review,No public image candidate found from page metadata
Gallows Point Resort,hotel,St. John,1,http://gallowspointresort.com/wp-content/uploads/2025/04/website-logo-color.png,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Gallows Point Resort,hotel,St. John,2,https://gallowspointresort.com/wp-content/uploads/2025/04/website-logo-color.png,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Gallows Point Resort,hotel,St. John,3,https://gallowspointresort.com/wp-content/uploads/2025/04/website-logo-255x153.png,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Gallows Point Resort,hotel,St. John,4,https://gallowspointresort.com/wp-content/uploads/2025/03/Untitled-5-550x824.jpg,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Gallows Point Resort,hotel,St. John,5,https://gallowspointresort.com/wp-content/uploads/2025/03/Untitled-7-550x824.jpg,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Gallows Point Resort,hotel,St. John,6,https://gallowspointresort.com/wp-content/uploads/2025/03/Untitled-4-550x824.jpg,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Gallows Point Resort,hotel,St. John,7,https://gallowspointresort.com/wp-content/uploads/2025/03/Untitled-6-550x824.jpg,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Gallows Point Resort,hotel,St. John,8,https://gallowspointresort.com/wp-content/uploads/2025/04/gallows-point-pool-550x824.jpg,https://gallowspointresort.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Estate Lindholm,hotel,St. John,1,https://img1.wsimg.com/isteam/ip/2e0e1b76-86d3-4c5b-8891-20e147ec3c84/DJI_20251103163951_0219_D.jpg,https://estatelindholm.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Coconut Coast Villas,villa,St. John,,,https://www.coconutcoastvillas.com/,No candidate found,needs_review,fetch failed
Lovango Resort + Beach Club,resort,St. John,1,https://www.lovangovi.com/wp-content/uploads/2020/11/lovango-resort-and-beach-club-seal.png,https://www.lovangovi.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Lovango Resort + Beach Club,resort,St. John,2,https://www.lovangovi.com/wp-content/uploads/2022/09/lovango-resort-and-beach-club-logo.png,https://www.lovangovi.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Lovango Resort + Beach Club,resort,St. John,3,https://www.lovangovi.com/wp-content/uploads/elementor/thumbs/ABC04835_websize-1-e1769450996584-ri8h9b7ichqpqvs6euv28uq8fy0smg9l42z8wdty1c.jpg,https://www.lovangovi.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Lovango Resort + Beach Club,resort,St. John,4,https://www.lovangovi.com/wp-content/uploads/elementor/thumbs/CRS3099_websize-ri8ftbqsjkdlrnpp0fxn58vxrxhcnk38vlpx5enz2k.jpg,https://www.lovangovi.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Lovango Resort + Beach Club,resort,St. John,5,https://www.lovangovi.com/wp-content/uploads/2024/12/lovango-resort-and-beach-club-seal.png,https://www.lovangovi.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Lovango Resort + Beach Club,resort,St. John,6,https://www.lovangovi.com/wp-content/uploads/2024/12/little-gem-resorts_0000_LOV.png,https://www.lovangovi.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,1,https://thebuccaneer.com/wp-content/uploads/2025/12/st-croix-resort-the-buccaneer-usvi.jpg,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,2,https://thebuccaneer.com/wp-content/uploads/2025/04/the-buccaneer-beach-resort-st-croix-2-780x356.jpg,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,3,https://thebuccaneer.com/wp-content/uploads/2026/03/golf-resort-st-croix.png,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,4,https://thebuccaneer.com/wp-content/uploads/2025/05/private-island-resort-st-croix-379x336.jpg,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,5,https://thebuccaneer.com/wp-content/uploads/2026/03/tripadvisor-award-2025-150x150.png,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,6,https://thebuccaneer.com/wp-content/uploads/2026/03/conde-nast-award-winner-150x150.png,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,7,https://thebuccaneer.com/wp-content/uploads/2026/03/readers-choice-award-winner-150x150.png,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
The Buccaneer Beach & Golf Resort,resort,St. Croix,8,https://thebuccaneer.com/wp-content/uploads/2026/03/trip-advisor-award-winner-150x150.png,https://thebuccaneer.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,1,https://www.kingchristianhotel.com/site/assets/files/11158/kingchristianhotel_meredithzimmermanphotography-10.jpg,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,2,https://www.kingchristianhotel.com/site/assets/files/1/kch_primary-gold-1.png?1q6yru,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,3,https://www.kingchristianhotel.com/site/assets/files/1/rdvc.png?1q72t3,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,4,https://www.kingchristianhotel.com/site/assets/files/11158/kingchristianhotel_meredithzimmermanphotography-10.2000x1334.jpg?1q6z0b,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,5,https://www.kingchristianhotel.com/site/assets/files/11217/kingchristian_room216_meredithzimmermanphotography-35.2000x1334.jpg?1qaqx1,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,6,https://www.kingchristianhotel.com/site/assets/files/11210/king_christian_hotel.2000x1334.jpg?1qc11v,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,7,https://www.kingchristianhotel.com/site/assets/files/11297/kingchristian_room222_meredithzimmermanphotography-4.1200x900.jpg?1q73vk,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
King Christian Hotel,hotel,St. Croix,8,https://www.kingchristianhotel.com/site/assets/files/11297/kingchristian_room220_meredithzimmermanphotography-27.1200x900.jpg?1q73vh,https://www.kingchristianhotel.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Company House Hotel,hotel,St. Croix,,,https://www.companyhousehotel.com/,No candidate found,needs_review,fetch failed
Carambola Beach Resort,resort,St. Croix,,,https://www.carambolabeachresortstcroix.com/,No candidate found,needs_review,fetch failed
Sand Castle on the Beach,hotel,St. Croix,1,https://sandcastleonthebeach.com/wp-content/uploads/1920x1080-sandcastleonthebeach-home_sliders-1.jpg,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sand Castle on the Beach,hotel,St. Croix,2,https://sandcastleonthebeach.com/wp-content/uploads/600x255_sandcastlelogo.png,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sand Castle on the Beach,hotel,St. Croix,3,https://sandcastleonthebeach.com/wp-content/uploads/150x38_waves.png,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sand Castle on the Beach,hotel,St. Croix,4,https://sandcastleonthebeach.com/wp-content/uploads/1920x1080-sandcastleonthebeach-hero-01-001.jpg,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sand Castle on the Beach,hotel,St. Croix,5,https://sandcastleonthebeach.com/wp-content/uploads/1920x1080-sandcastleonthebeach-hero-01-002.jpg,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sand Castle on the Beach,hotel,St. Croix,6,https://sandcastleonthebeach.com/wp-content/uploads/1920x1080-sandcastleonthebeach-hero-01-003.jpg,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sand Castle on the Beach,hotel,St. Croix,7,https://sandcastleonthebeach.com/wp-content/uploads/1920x1080-sandcastleonthebeach-hero-01-004.jpg,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Sand Castle on the Beach,hotel,St. Croix,8,https://sandcastleonthebeach.com/wp-content/uploads/1920x1080-sandcastleonthebeach-hero-01-005.jpg,https://sandcastleonthebeach.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
Tamarind Reef Resort,hotel,St. Croix,1,https://tamarindreef.com/images/template/logo-scroll.svg,https://tamarindreef.com/,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
McLaughlin Anderson Luxury Villas,villa,St. Thomas,1,https://cdn.prod.website-files.com/65e83515799429dd36b8f980/66a19ba62ccc427a4aef55c1_Luxury-Private-Villas_1500x1002_opt.webp,https://www.beautiful-places.com/vacation-homes/virgin-islands/homes-for-rent,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
McLaughlin Anderson Luxury Villas,villa,St. Thomas,2,https://cdn.prod.website-files.com/65e833bea1b16d061a87a15a/65ef812725db080ef8f41dd4_icon-email.svg,https://www.beautiful-places.com/vacation-homes/virgin-islands/homes-for-rent,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
McLaughlin Anderson Luxury Villas,villa,St. Thomas,3,https://cdn.prod.website-files.com/65e83515799429dd36b8f980/6712ad8de843ab5a682aac02_BeautifulPlaces_Aquamare_villas_viewed_from_water.jpg,https://www.beautiful-places.com/vacation-homes/virgin-islands/homes-for-rent,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
McLaughlin Anderson Luxury Villas,villa,St. Thomas,4,https://cdn.prod.website-files.com/65e83515799429dd36b8f980/66cf9c00d8eca01c54840c95_BeautifulPlaces_Sunrise_0015-hero2.jpg,https://www.beautiful-places.com/vacation-homes/virgin-islands/homes-for-rent,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
McLaughlin Anderson Luxury Villas,villa,St. Thomas,5,https://cdn.prod.website-files.com/65e83515799429dd36b8f980/6852f3d1080324d1e3cb5f70_pritchard-hill-hero.jpg,https://www.beautiful-places.com/vacation-homes/virgin-islands/homes-for-rent,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
McLaughlin Anderson Luxury Villas,villa,St. Thomas,6,https://cdn.prod.website-files.com/65e83515799429dd36b8f980/66a19bab8dfd72b4e9639fd6_villa-mas-crop.webp,https://www.beautiful-places.com/vacation-homes/virgin-islands/homes-for-rent,Official website public image candidate,needs_review,Publicly discoverable image candidate. Do not download or publish until license/permission is confirmed.
