kind,id,name,island,status,image
"place","stt-arian-s","Arian S","stt","placeholder","/images/directory/places/stt-arian-s.svg"
"place","stt-benito-s-burritos","Benito's Burritos","stt","placeholder","/images/directory/places/stt-benito-s-burritos.svg"
"place","stt-bernie-s-bar-grill","Bernie's Bar Grill","stt","placeholder","/images/directory/places/stt-bernie-s-bar-grill.svg"
"place","stt-bluebeard-s-castle-hilltop-villas-marriott-s-frenchman-s-cove-timeshares","Bluebeard's Castle Hilltop Villas Marriott's Frenchman's Cove Timeshares","stt","placeholder","/images/directory/places/stt-bluebeard-s-castle-hilltop-villas-marriott-s-frenchman-s-cove-timeshares.svg"
"place","stt-bonita-s-cantina","Bonita's Cantina","stt","placeholder","/images/directory/places/stt-bonita-s-cantina.svg"
"place","stt-bumpa-s","Bumpa S","stt","placeholder","/images/directory/places/stt-bumpa-s.svg"
"place","waterfront-charlotte-amalie","Charlotte Amalie Waterfront","stt","placeholder","/images/places/fallbacks/attraction-stt.svg"
"place","cinnamon-bay-campground","Cinnamon Bay Campground","stj","placeholder","/images/places/fallbacks/campground-stj.svg"
"place","columbus-landing-site","Columbus Landing Site","stx","placeholder","/images/places/fallbacks/historic-stx.svg"
"place","coral-bay-harbor","Coral Bay Harbor","stj","placeholder","/images/places/fallbacks/marina-stj.svg"
"place","cruz-bay-waterfront","Cruz Bay Waterfront","stj","placeholder","/images/places/fallbacks/attraction-stj.svg"
"place","stt-e-s-garden-teahouse","E's Garden Teahouse","stt","placeholder","/images/directory/places/stt-e-s-garden-teahouse.svg"
"place","east-end-st-john","East End St. John","stj","placeholder","/images/places/fallbacks/neighborhood-stj.svg"
"place","eliza-james-mchen-beach-park","Eliza James-McBean Clock Tower and Park","stx","placeholder","/images/places/fallbacks/park-stx.svg"
"place","frenchtown","Frenchtown","stt","placeholder","/images/places/fallbacks/neighborhood-stt.svg"
"place","frenchtown-market","Frenchtown Market","stt","placeholder","/images/places/fallbacks/market-stt.svg"
"place","green-cay-marina","Green Cay Marina","stx","placeholder","/images/places/fallbacks/marina-stx.svg"
"place","johns-folly-learning-institute","John's Folly Learning Institute","stj","placeholder","/images/places/fallbacks/cultural-stj.svg"
"place","market-square-st-thomas","Market Square","stt","placeholder","/images/places/fallbacks/historic-stt.svg"
"place","millennium-monument","Millennium Monument","stx","placeholder","/images/places/fallbacks/monument-stx.svg"
"place","red-hook","Red Hook","stt","placeholder","/images/places/fallbacks/neighborhood-stt.svg"
"place","rainforest-st-croix","St. Croix Rainforest","stx","placeholder","/images/places/fallbacks/nature-stx.svg"
"place","leap-st-croix","The Leap","stx","placeholder","/images/places/fallbacks/shopping-stx.svg"
"place","water-island-ferry-terminal","Water Island Ferry Terminal","stt","placeholder","/images/places/fallbacks/transport-stt.svg"
"beach","abi-beach","Abi Beach","stt","placeholder","/images/directory/beaches/abi-beach.svg"
"beach","banana-bay","Banana Bay","stj","placeholder","/images/directory/beaches/banana-bay.svg"
"beach","brown-bay","Brown Bay","stj","placeholder","/images/directory/beaches/brown-bay.svg"
"beach","caneel-bay","Caneel Bay","stj","placeholder","/images/directory/beaches/caneel-bay.svg"
"beach","caret-bay","Caret Bay","stt","placeholder","/images/directory/beaches/caret-bay.svg"
"beach","columbus-landing","Columbus Landing","stx","placeholder","/images/directory/beaches/columbus-landing.svg"
"beach","michelles-beach","Michelles Beach","stx","placeholder","/images/directory/beaches/michelles-beach.svg"
"beach","nazareth-bay","Nazareth Bay","stt","placeholder","/images/directory/beaches/nazareth-bay.svg"
"beach","reef-bay","Reef Bay","stj","placeholder","/images/directory/beaches/reef-bay.svg"
"beach","turtle-beach-buck-island","Turtle Beach Buck Island","stx","placeholder","/images/directory/beaches/turtle-beach-buck-island.svg"
"beach","water-bay","Water Bay","stt","placeholder","/images/directory/beaches/water-bay.svg"
"beach","waterlemon-bay","Waterlemon Bay","stj","placeholder","/images/directory/beaches/waterlemon-bay.svg"
"historic","annaberg-historic-district","Annaberg Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","barracks-no-2","Barracks No. 2","stt","placeholder","/images/historic/placeholder.svg"
"historic","benjamin-franklin-school","Benjamin Franklin School","stj","placeholder","/images/historic/placeholder.svg"
"historic","bethlehem-middle-works-historic-district","Bethlehem Middle Works Historic District","stx","placeholder","/images/historic/placeholder.svg"
"historic","bethlehem-sugar-factory","Bethlehem Sugar Factory","stt","placeholder","/images/historic/placeholder.svg"
"historic","brown-bay-plantation-historic-district","Brown Bay Plantation Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","cinnamon-bay-plantation","Cinnamon Bay Plantation","stj","placeholder","/images/historic/placeholder.svg"
"historic","cinnamon-bay-sugar-works","Cinnamon Bay Sugar Works","stj","placeholder","/images/historic/placeholder.svg"
"historic","coakley-bay-estate","Coakley Bay Estate","stx","placeholder","/images/historic/placeholder.svg"
"historic","columbus-landing-site","Columbus Landing Site","stx","placeholder","/images/historic/placeholder.svg"
"historic","cruz-bay-battery","Cruz Bay Battery","stj","placeholder","/images/historic/placeholder.svg"
