index,name,type,island,confidence,score,candidateSource,candidateIndex,candidateName,lat,lng,reason
23,Annaberg Plantation Records,archive_record,st_john,review,0.92,geographic_index,16,Anna Point,18.371289,-64.733869,contains_clean_slug
34,Arnesen,estate,st_croix,none,0.439,geographic_index,1931,Plessen,17.73430006364915,-64.82762389166996,weak_similarity
40,Babil Bay,bay,st_croix,none,0.333,geographic_index,149,BODKIN,17.75023931514295,-64.8357929761099,weak_similarity
41,Backefall Bay,bay,st_thomas,none,0.5,geographic_index,1118,Hull Bay,18.3709,-64.9547,weak_similarity
42,Baker Bay,bay,st_thomas,none,0.714,geographic_index,43,BAKKERO,18.32437770527245,-64.91758954396096,weak_similarity
44,Ballast Island,island,st_thomas,none,0.375,geographic_index,84,BELLEVUE,18.3265528432309,-64.9212594012035,weak_similarity
45,Banana Bay,bay,water_island,none,0.238,geographic_index,1096,Honeymoon Beach,18.3195,-64.9517,weak_similarity
46,Banana Point,bay,water_island,none,0.238,geographic_index,1096,Honeymoon Beach,18.3195,-64.9517,weak_similarity
48,Bandy Point,point,water_island,none,0.19,geographic_index,1096,Honeymoon Beach,18.3195,-64.9517,weak_similarity
49,Banson Plantation,estate,st_croix,none,0.51,geographic_index,304,CANAAN,17.760974916404052,-64.7997957341543,weak_similarity
50,Barents Bay,bay,st_thomas,none,0.581,geographic_index,351,Caret Point,18.36457293689035,-64.97608543520525,weak_similarity
51,Baron Bluff,point,st_croix,none,0.636,geographic_index,1018,HAMS BLUFF,17.76770637435705,-64.8718015967397,weak_similarity
57,Barrett Estate,estate,st_thomas,none,0.581,geographic_index,350,CARET BAY,18.36457293689035,-64.97608543520525,weak_similarity
58,Base Hill,bay,st_john,none,0.677,geographic_index,2071,Ram Hill,18.304556,-64.701833,weak_similarity
59,Bass Gut,bay,st_john,none,0.5,geographic_index,2276,SAUNDER'S GUT,18.33566130318645,-64.71543448803669,weak_similarity
62,Battery),historic,st_thomas,none,0.571,geographic_index,43,BAKKERO,18.32437770527245,-64.91758954396096,weak_similarity
63,Baudouins Gut,gut,st_croix,none,0.657,geographic_index,287,Caledonia Gut,17.76172242200235,-64.86961726911215,weak_similarity
64,Bay,estate,st_thomas,none,0.01,geographic_index,3,ADELPHI,18.3503525854884,-64.98204334502465,
65,Bay,bay,st_thomas,none,0.01,geographic_index,157,Bolongo Bay,18.3175123332078,-64.89879745646965,
72,Scotch Reef,dictionaryEntry,st_thomas,none,0.623,geographic_index,168,Bonne Esperance Estate,18.35446178282435,-64.9895367101718,weak_similarity
74,Beaching Spit,point,st_john,none,0.467,geographic_index,1057,Hawksnest Bay,18.3541,-64.7792,weak_similarity
75,Beaucoeur Plantation,estate,st_croix,none,0.444,geographic_index,257,Butler Bay,17.753232112647552,-64.87980189785985,weak_similarity
76,Beauregard Bay,bay,st_croix,none,0.5,geographic_index,327,Canegarda Point,17.702682157254202,-64.84359059453385,weak_similarity
77,Beck Grove,estate,st_croix,review,0.93,geographic_index,989,GROVE PLACE,17.730883867683502,-64.8230564385662,contains_clean_slug
79,Red Hook Bay,bay,st_thomas,none,0.5,geographic_index,495,Coki Point,18.3499,-64.8676,weak_similarity
