index,id,name,type,island,confidence,bucket,officialAuditSampled,candidateName,candidateSource,candidateLat,candidateLng,reason
23,st_john-archive_record-annaberg-plantation-records,Annaberg Plantation Records,archive_record,st_john,review,review_candidate,false,Anna Point,geographic_index,18.371289,-64.733869,contains_clean_slug
34,st_croix-estate-arnesen,Arnesen,estate,st_croix,none,research_clean_name_no_candidate,true,Canegarden,geographic_index,17.707521,-64.727444,weak_similarity
40,st_croix-bay-babil-bay,Babil Bay,bay,st_croix,none,research_clean_name_no_candidate,false,BODKIN,geographic_index,17.75023931514295,-64.8357929761099,weak_similarity
41,st_thomas-bay-backefall-bay,Backefall Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,Hull Bay,geographic_index,18.3709,-64.9547,weak_similarity
42,st_thomas-bay-baker-bay,Baker Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,BAKKERO,geographic_index,18.32437770527245,-64.91758954396096,weak_similarity
44,st_thomas-island-ballast-island,Ballast Island,island,st_thomas,none,research_clean_name_no_candidate,false,BELLEVUE,geographic_index,18.3265528432309,-64.9212594012035,weak_similarity
45,water_island-bay-banana-bay,Banana Bay,bay,water_island,none,research_clean_name_no_candidate,false,Honeymoon Beach,geographic_index,18.3195,-64.9517,weak_similarity
46,water_island-bay-banana-point,Banana Point,bay,water_island,none,research_clean_name_no_candidate,false,Honeymoon Beach,geographic_index,18.3195,-64.9517,weak_similarity
48,water_island-point-bandy-point,Bandy Point,point,water_island,none,research_clean_name_no_candidate,true,Honeymoon Beach,geographic_index,18.3195,-64.9517,weak_similarity
49,st_croix-estate-banson-plantation,Banson Plantation,estate,st_croix,none,research_clean_name_no_candidate,true,CANAAN,geographic_index,17.760974916404052,-64.7997957341543,weak_similarity
50,st_thomas-bay-barents-bay,Barents Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,Caret Point,geographic_index,18.36457293689035,-64.97608543520525,weak_similarity
51,st_croix-point-baron-bluff,Baron Bluff,point,st_croix,none,research_clean_name_no_candidate,true,HAMS BLUFF,geographic_index,17.76770637435705,-64.8718015967397,weak_similarity
57,st_thomas-estate-barrett-estate,Barrett Estate,estate,st_thomas,none,research_clean_name_no_candidate,true,CARET BAY,geographic_index,18.36457293689035,-64.97608543520525,weak_similarity
58,st_john-bay-base-hill,Base Hill,bay,st_john,none,research_clean_name_no_candidate,false,Ram Hill,geographic_index,18.304556,-64.701833,weak_similarity
59,st_john-bay-bass-gut,Bass Gut,bay,st_john,none,research_clean_name_no_candidate,false,SAUNDER'S GUT,geographic_index,18.33566130318645,-64.71543448803669,weak_similarity
62,st_thomas-historic-battery,Battery),historic,st_thomas,none,generic_fragment_do_not_coordinate,true,BAKKERO,geographic_index,18.32437770527245,-64.91758954396096,weak_similarity
63,st_croix-gut-baudouins-gut,Baudouins Gut,gut,st_croix,none,research_clean_name_no_candidate,false,Caledonia Gut,geographic_index,17.76172242200235,-64.86961726911215,weak_similarity
64,st_thomas-estate-bay,Bay,estate,st_thomas,none,generic_fragment_do_not_coordinate,true,ADELPHI,geographic_index,18.3503525854884,-64.98204334502465,
65,st_thomas-bay-bay,Bay,bay,st_thomas,none,generic_fragment_do_not_coordinate,false,Bolongo Bay,geographic_index,18.3175123332078,-64.89879745646965,
72,st_thomas-dictionaryEntry-bcotch-reef,Bcotch Reef,dictionaryEntry,st_thomas,none,ocr_or_name_cleanup_first,false,Bonne Esperance Estate,geographic_index,18.35446178282435,-64.9895367101718,weak_similarity
74,st_john-point-beaehing-spit,Beaehing Spit,point,st_john,none,research_clean_name_no_candidate,true,Hawksnest Bay,geographic_index,18.3541,-64.7792,weak_similarity
75,st_croix-estate-beaucoeur-plantation,Beaucoeur Plantation,estate,st_croix,none,research_clean_name_no_candidate,true,Butler Bay,geographic_index,17.753232112647552,-64.87980189785985,weak_similarity
76,st_croix-bay-beauregard-bay,Beauregard Bay,bay,st_croix,none,research_clean_name_no_candidate,false,Canegarda Point,geographic_index,17.702682157254202,-64.84359059453385,weak_similarity
