collection,id,name,island,status,googlePlaceId,error
beaches,brown-bay,Brown Bay,STJ,no-photo,ChIJFy4C5LByBYwRfHsbbErD0n8,
beaches,caneel-bay,Caneel Bay,STJ,no-photo,ChIJGSaR0hISBYwRAITsy3457h4,
beaches,lindbergh-bay,Lindbergh Bay,STT,no-photo,ChIJf2eIewkbBYwRxAlzzZ17PAc,
beaches,sandy-point,Sandy Point,STX,no-photo,ChIJ0W63Nr_PGowRobthXrsbR_U,
beaches,secret-harbor,Secret Harbor,STT,no-photo,ChIJhVtb0wYRBYwRMZWqYqnZZGc,
beaches,teague-bay,Teague Bay,STX,no-photo,ChIJV8cMwZuzGowRMXAQ9oiwH1U,
places,STT-bellavista-bed-breakfast,Bellavista Bed & Breakfast,STT,no-place-id,,
places,STT-bluebeard-s-castle-hilltop-villas-marriott-s-frenchman-s-cove-timeshares,Bluebeard’s Castle Hilltop Villas & Marriott’s Frenchman’s Cove (timeshares),STT,no-photo,ChIJk5N02o0aBYwRDHvCUKXdYkc,
places,STT-colony-cove,Colony Cove,STT,no-place-id,,
places,STT-company-house-hotel,Company House Hotel,STT,no-place-id,,
places,STT-eco-serendib-villa-and-spa,Eco Serendib Villa and Spa,STJ,no-photo,ChIJJd34b1kSBYwRR4GwQoxqA-o,
places,STT-havensight-shopping-mall,Havensight Shopping Mall,STT,no-photo,ChIJ4wUflr4bBYwRs2imk9N8990,
places,STT-hook-line-sinker,Hook Line & Sinker,STT,no-photo,ChIJp8cq7-oaBYwRTVidYw81PVc,
places,STT-lockhart-gardens-tutu-park-mall-nisky-center-paradise-point-and-mountain-top,"Lockhart Gardens, Tutu Park Mall, Nisky Center, Paradise Point and Mountain Top",STT,no-place-id,,
places,STT-magens-bay-cafe-pizzeria,Magens Bay Cafe & Pizzeria,STT,no-place-id,,
places,STT-pita-express,Pita Express,STT,no-place-id,,
places,STT-ritz-carlton-club-timeshare,Ritz‑Carlton Club (timeshare),STT,no-photo,ChIJPS6RydkaBYwRvxnGYlN9PSI,
places,STT-st-croix-timeshares-e-g-chenay-bay-beach-resort,"St. Croix timeshares (e.g., Chenay Bay Beach Resort)",STT,no-place-id,,
