collection,documentId,sourceName,sourceIsland,status,score,nameScore,distanceKm,googlePlaceId,googleName,googleAddress,error
beaches,salt-pond-bay,Salt Pond Bay,STJ,review,0.51,0.4,1.471,ChIJF6egxS5tBYwRgBKyoj3eBHI,Saltpond Bay,"Saltpond Bay, St John 00830, USVI",
beaches,teague-bay,Teague Bay,STX,review,0.588,0.5,0.785,ChIJV8cMwZuzGowRMXAQ9oiwH1U,Teagues Bay,"Teagues Bay, Christiansted, St Croix 00820, USVI",
places,STT-arian-s,Arian’s,STT,review,0.143,0,3.144,ChIJNRJI2qsbBYwRwEn6jEiaMqM,Arians Bar & Restaurant,"St. Thomas, 103 Subbase Rd, Charlotte Amalie West, St Thomas 00802, USVI",
places,STT-at-home-in-the-tropics-b-b,At Home in the Tropics B&B,STT,review,0.805,0.75,0.166,ChIJd9BfVI0aBYwRDuitvM_vOLc,At Home in The Tropics Inn,"1680 (25) Dronningens Gade Charlotte Amalie St Thomas VI VI, Charlotte Amalie, St Thomas 00802, USVI",
places,STT-beach-bar-and-grill-at-lindbergh-beach,Beach Bar and Grill at Lindbergh Beach,STT,review,0.143,0,3.577,ChIJg1Q6aqgbBYwRTPIntqMe7bg,Emerald Beach Bar,"8070 Lindbergh Bay, Charlotte Amalie West, St Thomas 00802, USVI",
places,STT-bellavista-bed-breakfast,Bellavista Bed & Breakfast,STT,review,0.51,0.4,1.642,ChIJx37QD4YaBYwRWjt8u1_kqsM,Bellavista Scott Hotel,"9378 Estate Thomas, Charlotte Amalie East, St Thomas 00802, USVI",
places,STT-beni-iguanas-sushi-bar,Beni Iguanas Sushi Bar,STT,review,0.6657,0.5714,0.439,ChIJywju-YgaBYwRIW4eJyEv5as,Beni Iguana's Sushi Bar & Restaurant,"St Thomas, W Indies Dock Rd, Charlotte Amalie, St Thomas 00802, USVI",
places,STT-blue-11,Blue 11,STT,review,0.588,0.5,1.13,ChIJf46CHwUbBYwRV5QWYwtWgX0,Blue Eleven,"Charlotte Amalie, St Thomas 00802, USVI",
places,STT-bluebeard-s-castle-hilltop-villas-marriott-s-frenchman-s-cove-timeshares,Bluebeard’s Castle Hilltop Villas & Marriott’s Frenchman’s Cove (timeshares),STT,review,0.7551,0.7143,0.708,ChIJk5N02o0aBYwRDHvCUKXdYkc,Hilltop Villas at Bluebeard's Castle,"Charlotte Amalie, St Thomas 00802, USVI",
places,STT-bumpa-s,Bumpa’s,STT,review,0.22,0,0.13,ChIJAQAAAAAbBYwRF2z9hX9sksI,Bumpas Sandwich Shop,"38-A Waterfront Hwy, Charlotte Amalie, St Thomas 00804, USVI",
places,STT-bungalows-on-the-bay-chenay,Bungalows on the Bay (Chenay),STT,review,0.702,0.9,70.872,ChIJ5e1HtHy1GowRaEmkLhENwYY,Bungalows On the Bay,"Bungalows on the Bay 5000, Chenay Bay, Christiansted, St Croix 00820, USVI",
places,STT-buoy-haus-beach-resort-at-frenchman-s-reef,Buoy Haus Beach Resort at Frenchman’s Reef,STT,review,0.455,0.4,2.74,ChIJfaJVBiEbBYwRj0zQfGk2fP0,"Buoy Haus Beach Resort St. Thomas, Autograph Collection","2 Estate Bakkeroe, St Thomas 00802, USVI",
places,STT-carambola-beach-resort,Carambola Beach Resort,STT,review,0.702,0.9,66.571,ChIJpS60CuyBt4cRbextEyChguE,Carambola Golf Club / Residences,"72 Estate River, kingshill, St Croix 00850, USVI",
places,STT-carina-bay-campground-cane-bay,Carina Bay Campground (Cane Bay),STT,review,0.6686,0.8571,64.581,ChIJH4B03InLGowRM-B1LLabzzU,Cane Bay Campground,"110 Cane Bay Rd, Christiansted, St Croix 00851, USVI",
places,STT-club-st-croix-beach-tennis-resort,Club St. Croix Beach & Tennis Resort,STT,review,0.78,1,69.19,ChIJ_eg1YHPKGowRv06CVVE719Y,Club St Croix Beach & Tennis Resort,"Q73J+686, Christiansted, St Croix, USVI",
places,STT-colony-cove,Colony Cove,STT,review,0.22,0,0.18,ChIJPyNr0_IaBYwRqgbYUN6hHE4,Fort Christian,"St. Thomas, Forts Straede, Charlotte Amalie, St Thomas 00802, USVI",
places,STT-company-house-hotel,Company House Hotel,STT,review,0.61,0.5,0.089,ChIJMfbMUJccBYwRafjweGKbxo0,Galleon House,"31 Kongen Gade, Charlotte Amalie, St Thomas 00804, USVI",
places,STT-cottages-by-the-sea,Cottages by the Sea,STT,review,0.78,1,71.432,ChIJw6Ww_sjPGowR8sNd3RrsZg8,Cottages by the Sea,"127A Estate, Frederiksted, St Croix 00840, USVI",
