dataset,id,name,island
"data/travel-knowledge/places.json","stt-arian-s","Arian S","stt"
"data/travel-knowledge/places.json","stt-benito-s-burritos","Benito's Burritos","stt"
"data/travel-knowledge/places.json","stt-bernie-s-bar-grill","Bernie's Bar Grill","stt"
"data/travel-knowledge/places.json","stt-bluebeard-s-castle-hilltop-villas-marriott-s-frenchman-s-cove-timeshares","Bluebeard's Castle Hilltop Villas Marriott's Frenchman's Cove Timeshares","stt"
"data/travel-knowledge/places.json","stt-bonita-s-cantina","Bonita's Cantina","stt"
"data/travel-knowledge/places.json","stt-bumpa-s","Bumpa S","stt"
"data/travel-knowledge/places.json","waterfront-charlotte-amalie","Charlotte Amalie Waterfront","stt"
"data/travel-knowledge/places.json","charlotte-amalie-waterfront","Charlotte Amalie Waterfront","stt"
"data/travel-knowledge/places.json","cinnamon-bay-campground","Cinnamon Bay Campground","stj"
"data/travel-knowledge/places.json","columbus-landing-site","Columbus Landing Site","stx"
"data/travel-knowledge/places.json","coral-bay","Coral Bay","stj"
"data/travel-knowledge/places.json","coral-bay-harbor","Coral Bay Harbor","stj"
"data/travel-knowledge/places.json","cruz-bay","Cruz Bay","stj"
"data/travel-knowledge/places.json","cruz-bay-waterfront","Cruz Bay Waterfront","stj"
"data/travel-knowledge/places.json","stt-duffy-s-love-shack","Duffy's Love Shack","stt"
"data/travel-knowledge/places.json","stt-e-s-garden-teahouse","E's Garden Teahouse","stt"
"data/travel-knowledge/places.json","east-end-st-john","East End St. John","stj"
"data/travel-knowledge/places.json","eliza-james-mchen-beach-park","Eliza James-McBean Clock Tower and Park","stx"
"data/travel-knowledge/places.json","estate-whim-museum","Estate Whim Museum","stx"
"data/travel-knowledge/places.json","fortsberg","Fortsberg","stj"
"data/travel-knowledge/places.json","frenchtown","Frenchtown","stt"
"data/travel-knowledge/places.json","frenchtown-market","Frenchtown Market","stt"
"data/travel-knowledge/places.json","green-cay-marina","Green Cay Marina","stx"
"data/travel-knowledge/places.json","johns-folly-learning-institute","John's Folly Learning Institute","stj"
"data/travel-knowledge/places.json","main-street-charlotte-amalie","Main Street Charlotte Amalie","stt"
"data/travel-knowledge/places.json","market-square-st-thomas","Market Square","stt"
"data/travel-knowledge/places.json","millennium-monument","Millennium Monument","stx"
"data/travel-knowledge/places.json","stt-mim-s-seafood-bistro","Mim's Seafood Bistro","stt"
"data/travel-knowledge/places.json","old-danish-custom-house","Old Danish Custom House","stx"
"data/travel-knowledge/places.json","paradise-point","Paradise Point","stt"
"data/travel-knowledge/places.json","peace-hill","Peace Hill","stj"
"data/travel-knowledge/places.json","red-hook","Red Hook","stt"
"data/travel-knowledge/places.json","skyride-to-paradise-point","Skyride to Paradise Point","stt"
"data/travel-knowledge/places.json","rainforest-st-croix","St. Croix Rainforest","stx"
"data/travel-knowledge/places.json","stt-sudi-s-caribbean-bar-grille","Sudi's Caribbean Bar Grille","stt"
"data/travel-knowledge/places.json","leap-st-croix","The Leap","stx"
"data/travel-knowledge/places.json","stt-virgilio-s-italian","Virgilio's Italian","stt"
"data/travel-knowledge/places.json","virgin-islands-national-park-visitor-center","Virgin Islands National Park Visitor Center","stj"
"data/travel-knowledge/places.json","water-island-ferry-terminal","Water Island Ferry Terminal","stt"
"data/travel-knowledge/beaches.json","abi-beach","Abi Beach","stt"
"data/travel-knowledge/beaches.json","banana-bay","Banana Bay","stj"
"data/travel-knowledge/beaches.json","brown-bay","Brown Bay","stj"
"data/travel-knowledge/beaches.json","caneel-bay","Caneel Bay","stj"
"data/travel-knowledge/beaches.json","caret-bay","Caret Bay","stt"
"data/travel-knowledge/beaches.json","columbus-landing","Columbus Landing","stx"
"data/travel-knowledge/beaches.json","honeymoon-beach","Honeymoon Beach","stj"
"data/travel-knowledge/beaches.json","honeymoon-water-island","Honeymoon Water Island","stt"
"data/travel-knowledge/beaches.json","michelles-beach","Michelles Beach","stx"
"data/travel-knowledge/beaches.json","nazareth-bay","Nazareth Bay","stt"
"data/travel-knowledge/beaches.json","reef-bay","Reef Bay","stj"
"data/travel-knowledge/beaches.json","santa-maria-beach","Santa Maria Beach","stt"
"data/travel-knowledge/beaches.json","teague-bay","Teague Bay","stx"
"data/travel-knowledge/beaches.json","turtle-beach-buck-island","Turtle Beach Buck Island","stx"
"data/travel-knowledge/beaches.json","water-bay","Water Bay","stt"
"data/travel-knowledge/beaches.json","waterlemon-bay","Waterlemon Bay","stj"
"data/travel-knowledge/historic-sites.json","annaberg-historic-district","Annaberg Historic District","stj"
