id,name,island,kind,candidateScore,candidateTitle,previewUrl,sourceUrl,creator,license,licenseUrl,decision
stay:sapphire-village-resort,Sapphire Village Resort,stt,stay,0,File:On the sunset shore; a book of poems and rhymes (IA onsunsetshoreboo00dorr).pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/On_the_sunset_shore%3B_a_book_of_poems_and_rhymes_%28IA_onsunsetshoreboo00dorr%29.pdf/page1-500px-On_the_sunset_shore%3B_a_book_of_poems_and_rhymes_%28IA_onsunsetshoreboo00dorr%29.pdf.jpg,https://commons.wikimedia.org/wiki/File:On_the_sunset_shore;_a_book_of_poems_and_rhymes_(IA_onsunsetshoreboo00dorr).pdf,"Dorr, Joseph W., 1855- [from old catalog]",Public domain,,
stay:flamboyan-on-the-bay-resort-villas,Flamboyan on the Bay Resort & Villas,stt,stay,,,,,,,,
stay:windward-passage-hotel,Windward Passage Hotel,stt,stay,0,"File:Stark's history and guide to Barbados and the Caribbee Islands, containing a description of everything on or about these islads of which the visitor or resident may desire information .. (IA starkshistorygui00star).pdf",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Stark%27s_history_and_guide_to_Barbados_and_the_Caribbee_Islands%2C_containing_a_description_of_everything_on_or_about_these_islads_of_which_the_visitor_or_resident_may_desire_information_.._%28IA_starkshistorygui00star%29.pdf/page1-500px-thumbnail.pdf.jpg,"https://commons.wikimedia.org/wiki/File:Stark%27s_history_and_guide_to_Barbados_and_the_Caribbee_Islands,_containing_a_description_of_everything_on_or_about_these_islads_of_which_the_visitor_or_resident_may_desire_information_.._(IA_starkshistorygui00star).pdf","Stark, James H[enry] [from old catalog]",Public domain,,
stay:pavilions-and-pools-resort,Pavilions and Pools Resort,stt,stay,,,,,,,,
stay:inn-on-strand-street,Inn on Strand Street,stx,stay,0,File:The old régime in Canada (IA oldrgimeincana00park).pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/The_old_r%C3%A9gime_in_Canada_%28IA_oldrgimeincana00park%29.pdf/page1-500px-The_old_r%C3%A9gime_in_Canada_%28IA_oldrgimeincana00park%29.pdf.jpg,https://commons.wikimedia.org/wiki/File:The_old_r%C3%A9gime_in_Canada_(IA_oldrgimeincana00park).pdf,"Parkman, Francis, 1823-1893",Public domain,,
historic:99-steps,99 Steps,stt,historic,0,"File:Annual Report of the U.S. Department of Health, Education and Welfare (IA annualreportofus00unit 1).pdf",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Annual_Report_of_the_U.S._Department_of_Health%2C_Education_and_Welfare_%28IA_annualreportofus00unit_1%29.pdf/page1-500px-Annual_Report_of_the_U.S._Department_of_Health%2C_Education_and_Welfare_%28IA_annualreportofus00unit_1%29.pdf.jpg,"https://commons.wikimedia.org/wiki/File:Annual_Report_of_the_U.S._Department_of_Health,_Education_and_Welfare_(IA_annualreportofus00unit_1).pdf",United States Office of Education,Public domain,,
place:american-yacht-harbor,American Yacht Harbor,stt,place,0.333,"File:Cruising in the Caribbean with a camera - lecture delivered May 7, 1903 at the New York Yacht Club including description of globular naval battery invented by the author (IA cruisingincaribb00stok).pdf",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Cruising_in_the_Caribbean_with_a_camera_-_lecture_delivered_May_7%2C_1903_at_the_New_York_Yacht_Club_including_description_of_globular_naval_battery_invented_by_the_author_%28IA_cruisingincaribb00stok%29.pdf/page1-500px-thumbnail.pdf.jpg,"https://commons.wikimedia.org/wiki/File:Cruising_in_the_Caribbean_with_a_camera_-_lecture_delivered_May_7,_1903_at_the_New_York_Yacht_Club_including_description_of_globular_naval_battery_invented_by_the_author_(IA_cruisingincaribb00stok).pdf","Stokes, Anson Phelps, 1838-1913",Public domain,,
historic:annaberg-sugar-plantation,Annaberg Sugar Plantation,stj,historic,,,,,,,,
place:stt-arian-s,Arian S,stt,place,0,"File:Essays, critical and miscellaneous (IA essayscriticalmi02maca).pdf",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Essays%2C_critical_and_miscellaneous_%28IA_essayscriticalmi02maca%29.pdf/page1-500px-Essays%2C_critical_and_miscellaneous_%28IA_essayscriticalmi02maca%29.pdf.jpg,"https://commons.wikimedia.org/wiki/File:Essays,_critical_and_miscellaneous_(IA_essayscriticalmi02maca).pdf","Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",Public domain,,
place:stt-benito-s-burritos,Benito's Burritos,stt,place,,,,,,,,
