id,name,island,kind,positioned,status,image
stay:sapphire-village-resort,Sapphire Village Resort,stt,stay,true,placeholder,/images/stays/stt/sapphire-village-resort.svg
stay:flamboyan-on-the-bay-resort-villas,Flamboyan on the Bay Resort & Villas,stt,stay,true,placeholder,/images/stays/stt/flamboyan-on-the-bay-resort-villas.svg
stay:windward-passage-hotel,Windward Passage Hotel,stt,stay,true,placeholder,/images/stays/stt/windward-passage-hotel.svg
stay:pavilions-and-pools-resort,Pavilions and Pools Resort,stt,stay,false,placeholder,/images/stays/stt/pavilions-and-pools-resort.svg
stay:inn-on-strand-street,Inn on Strand Street,stx,stay,false,placeholder,/images/stays/stx/inn-on-strand-street.svg
historic:99-steps,99 Steps,stt,historic,false,placeholder,/images/places/fallbacks/historic-stt.svg
place:american-yacht-harbor,American Yacht Harbor,stt,place,true,placeholder,/images/places/fallbacks/marina-stt.svg
historic:annaberg-sugar-plantation,Annaberg Sugar Plantation,stj,historic,true,placeholder,/images/places/fallbacks/historic-stj.svg
place:stt-arian-s,Arian S,stt,place,false,placeholder,/images/directory/places/stt-arian-s.svg
place:stt-benito-s-burritos,Benito's Burritos,stt,place,true,placeholder,/images/directory/places/stt-benito-s-burritos.svg
place:stt-bernie-s-bar-grill,Bernie's Bar Grill,stt,place,true,placeholder,/images/directory/places/stt-bernie-s-bar-grill.svg
place:stt-bluebeard-s-castle-hilltop-villas-marriott-s-frenchman-s-cove-timeshares,Bluebeard's Castle Hilltop Villas Marriott's Frenchman's Cove Timeshares,stt,place,false,placeholder,/images/directory/places/stt-bluebeard-s-castle-hilltop-villas-marriott-s-frenchman-s-cove-timeshares.svg
place:stt-bonita-s-cantina,Bonita's Cantina,stt,place,true,placeholder,/images/directory/places/stt-bonita-s-cantina.svg
place:brewers-bay,Brewers Bay,stt,place,false,placeholder,/images/places/fallbacks/attraction-stt.svg
place:buck-island-reef-national-monument,Buck Island Reef National Monument,stx,place,false,placeholder,/images/places/fallbacks/nature-stx.svg
place:stt-bumpa-s,Bumpa S,stt,place,false,placeholder,/images/directory/places/stt-bumpa-s.svg
place:cane-bay-wall,Cane Bay Wall,stx,place,false,placeholder,/images/places/fallbacks/nature-stx.svg
place:caneel-bay-overlook,Caneel Bay Overlook,stj,place,false,placeholder,/images/places/fallbacks/viewpoint-stj.svg
place:captain-morgan-visitor-center,Captain Morgan Visitor Center,stx,place,false,placeholder,/images/places/fallbacks/attraction-stx.svg
place:waterfront-charlotte-amalie,Charlotte Amalie Waterfront,stt,place,false,placeholder,/images/places/fallbacks/attraction-stt.svg
historic:christiansted-national-historic-site,Christiansted National Historic Site,stx,historic,true,placeholder,/images/places/fallbacks/historic-stx.svg
place:cinnamon-bay-archaeology-lab,Cinnamon Bay Archaeology Museum,stj,place,false,placeholder,/images/places/fallbacks/museum-stj.svg
place:cinnamon-bay-campground,Cinnamon Bay Campground,stj,place,true,placeholder,/images/places/fallbacks/campground-stj.svg
place:coki-point,Coki Point,stt,place,false,placeholder,/images/places/fallbacks/attraction-stt.svg
historic:columbus-landing-site,Columbus Landing Site,stx,historic,true,placeholder,/images/places/fallbacks/historic-stx.svg
place:coral-bay,Coral Bay,stj,place,true,placeholder,/images/places/fallbacks/neighborhood-stj.svg
place:coral-bay-harbor,Coral Bay Harbor,stj,place,false,placeholder,/images/places/fallbacks/marina-stj.svg
