island,estateName,missing,sampleParcelId,sampleLabel
st_croix,Barren Spot (West),890,2026500023100,Parcel 2026500023100 · Estate Barren Spot (West)
st_croix,Carlton,707,406000043200,Parcel 406000043200 · Estate Carlton
st_john,Carolina,705,304004010500,Parcel 304004010500 · Estate Carolina
st_croix,Grove Place,650,404200004600,Parcel 404200004600 · Estate Grove Place
st_john,Chocolate Hole,552,308101260900,Parcel 308101260900 · Estate Chocolate Hole
st_croix,La Grande Princesse,548,201400045400,Parcel 201400045400 · Estate La Grande Princesse
st_croix,Christiansted,539,204902051800,Parcel 204902051800 · Estate Christiansted
st_croix,La Grange,534,402100014600,Parcel 402100014600 · Estate La Grange
st_croix,Diamond,523,204600004000,Parcel 204600004000 · Estate Diamond
st_croix,MOUNT PLEASANT (South),462,406200036400,Parcel 406200036400 · Estate MOUNT PLEASANT (South)
st_croix,Frederiksted,454,405816010100,Parcel 405816010100 · Estate Frederiksted
st_croix,Eliza'S Retreat,443,205000010800,Parcel 205000010800 · Estate Eliza'S Retreat
st_croix,Two Brothers / Smithfield / Hesselberg,443,407500040100,Parcel 407500040100 · Estate Two Brothers / Smithfield / Hesselberg
st_croix,Vicorp Land,408,204400040200,Parcel 204400040200 · Estate Vicorp Land
st_croix,La Vallee,350,201100015200,Parcel 201100015200 · Estate La Vallee
st_croix,CONCORDIA (West),336,407600015200,Parcel 407600015200 · Estate CONCORDIA (West)
st_john,Caneel Bay,333,303703020100,Parcel 303703020100 · Estate Caneel Bay
st_john,Fish Bay,306,308202034000,Parcel 308202034000 · Estate Fish Bay
st_croix,Colquohoun,305,204400001070,Parcel 204400001070 · Estate Colquohoun
st_croix,Catherine'S Rest,305,2049000300A1,Parcel 2049000300A1 · Estate Catherine'S Rest
st_croix,Clifton Hill,302,206500010000,Parcel 206500010000 · Estate Clifton Hill
st_john,Enighed,300,306003020100,Parcel 306003020100 · Estate Enighed
st_croix,Castle Coakley,296,206600021700,Parcel 206600021700 · Estate Castle Coakley
st_croix,Bugby Hole,286,2027000012000,Parcel 2027000012000 · Estate Bugby Hole
st_croix,Boetzberg,285,203000000500,Parcel 203000000500 · Estate Boetzberg
st_croix,Annas Hope,273,204813010500,Parcel 204813010500 · Estate Annas Hope
st_croix,Union & Mount Washington,239,205202033100,Parcel 205202033100 · Estate Union & Mount Washington
st_croix,Work & Rest,236,206800010200,Parcel 206800010200 · Estate Work & Rest
st_croix,Peter'S Rest,230,206700020100,Parcel 206700020100 · Estate Peter'S Rest
st_croix,Upper Love,222,404300030200,Parcel 404300030200 · Estate Upper Love
st_croix,Cane,216,407800010100,Parcel 407800010100 · Estate Cane
st_john,Hansen Bay,208,304403010400,Parcel 304403010400 · Estate Hansen Bay
st_croix,Cane Garden,196,208400022300,Parcel 208400022300 · Estate Cane Garden
st_croix,WHIM (East),194,407700010500,Parcel 407700010500 · Estate WHIM (East)
st_croix,Golden Rock,193,2027000300A8,Parcel 2027000300A8 · Estate Golden Rock
st_croix,Granard,190,2068000100T-,Parcel 2068000100T- · Estate Granard
st_croix,Great Pond,188,205215010100,Parcel 205215010100 · Estate Great Pond
st_croix,Mon Bijou,185,202316041700,Parcel 202316041700 · Estate Mon Bijou
st_croix,Frederikshaab,179,406000030200,Parcel 406000030200 · Estate Frederikshaab
st_croix,Bettys Hope,178,407900040100,Parcel 407900040100 · Estate Bettys Hope
st_croix,Cotton Valley,176,203200020300,Parcel 203200020300 · Estate Cotton Valley
st_croix,Green Cay,171,201600000100,Parcel 201600000100 · Estate Green Cay
st_croix,Golden Grove,169,206040003630,Parcel 206040003630 · Estate Golden Grove
st_croix,Hermon Hill,164,204816011000,Parcel 204816011000 · Estate Hermon Hill
st_croix,Coakley Bay,163,20300020601,Parcel 20300020601 · Estate Coakley Bay
st_john,Cruz Bay Town,152,306003020400,Parcel 306003020400 · Estate Cruz Bay Town
st_john,Bethany,152,306004011700,Parcel 306004011700 · Estate Bethany
st_croix,Mount Welcome,149,202900030103,Parcel 202900030103 · Estate Mount Welcome
st_croix,Humbug,148,206800030001,Parcel 206800030001 · Estate Humbug
st_croix,Shoys,146,203000001200,Parcel 203000001200 · Estate Shoys
