island,taxiZoneId,missing,sampleParcelId,sampleLabel
st_croix,stx_christiansted,14184,2-05400-0414-00,Parcel 2-05400-0414-00 · Estate Wood Cottage
st_john,stj_cruz_bay,2541,301701010100,Parcel 301701010100 · Estate Whistling Cay
st_croix,stx_sunny_isle,982,2026500023100,Parcel 2026500023100 · Estate Barren Spot (West)
st_croix,stx_frederiksted,912,403800040100,Parcel 403800040100 · Estate William
st_john,stj_coral_bay,823,304004010500,Parcel 304004010500 · Estate Carolina
st_john,stj_chocolate_hole,552,308101260900,Parcel 308101260900 · Estate Chocolate Hole
st_croix,stx_buccaneer,362,203000001200,Parcel 203000001200 · Estate Shoys
st_croix,stx_cane_bay,350,201100015200,Parcel 201100015200 · Estate La Vallee
st_john,stj_caneel_bay,333,303703020100,Parcel 303703020100 · Estate Caneel Bay
st_thomas,stt_charlotte_amalie,287,100904011500,Parcel 100904011500 · Estate Sorgenfri Eastern Portion
st_croix,stx_golden_rock,230,2027000300A8,Parcel 2027000300A8 · Estate Golden Rock
st_croix,stx_mid_island,230,206700020100,Parcel 206700020100 · Estate Peter'S Rest
st_john,stj_salt_pond,161,306404030100,Parcel 306404030100 · Estate Lameshur Complex
st_john,stj_trunk_bay,117,303802020100,Parcel 303802020100 · Estate Trunk Bay
st_thomas,stt_red_hook,80,105702021200,Parcel 105702021200 · Estate Frydendal
st_croix,stx_kingshill,57,202410031000,Parcel 202410031000 · Estate Glynn
st_john,stj_maho_bay,57,301801010100,Parcel 301801010100 · Estate Annaberg
st_thomas,stt_tutu,37,103103050000,Parcel 103103050000 · Estate Anna'S Retreat
st_john,stj_cinnamon_bay,25,303901010200,Parcel 303901010200 · Estate Great Cinnamon Bay
st_thomas,stt_west_end,22,101003042100,Parcel 101003042100 · Estate Caret Bay
st_thomas,stt_water_island_ferry,22,107104020700,Parcel 107104020700 · Estate Water Island
st_thomas,stt_hull_bay,19,101102010100,Parcel 101102010100 · Estate Hull
st_thomas,stt_smith_bay,15,105702030100,Parcel 105702030100 · Estate Smith Bay
st_thomas,stt_bolongo,13,107402028400,Parcel 107402028400 · Estate Bolongo
st_thomas,stt_airport,11,102604020900,Parcel 102604020900 · Estate Lindbergh Bay
st_thomas,stt_crown_bay,11,105204052200,Parcel 105204052200 · Estate Nisky
st_thomas,stt_havensight,11,105402120300,Parcel 105402120300 · Estate Thomas
st_thomas,stt_mountain_top,10,101104013700,Parcel 101104013700 · Estate Bonne Resolution
st_thomas,stt_mafolie,7,102803061600,Parcel 102803061600 · Estate Solberg
st_thomas,stt_magens_bay,6,101202011200,Parcel 101202011200 · Estate Peterborg
st_thomas,stt_coki,5,1033003010900,Parcel 1033003010900 · Estate Coki Point
st_thomas,stt_frenchmans_reef,4,107302012900,Parcel 107302012900 · Estate Bakkero
st_john,stj_leinster_bay,3,301901010100,Parcel 301901010100 · Estate Leinster Bay
st_john,unknown,2,303801010100,Parcel 303801010100
st_thomas,stt_frenchtown,2,102502033400,Parcel 102502033400 · Estate Santa Maria
